Scenario,Config,AgentName,Commitment,Rep,Score,NumTraps
3.3_dynamic_no_traps,all_together,rnd,20,9,33,0
3.3_dynamic_no_traps,all_together,agA,20,9,29,0
3.3_dynamic_no_traps,all_together,agB,20,9,27,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,1,31,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,10,24,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,2,39,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,3,22,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,4,24,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,5,30,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,6,35,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,7,35,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,8,38,0
3.3_dynamic_no_traps,RandomAgent_solo,player,1,9,35,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,1,31,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,10,46,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,2,29,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,3,31,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,4,33,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,5,42,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,6,35,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,7,31,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,8,28,0
3.3_dynamic_no_traps,RandomAgent_solo,player,20,9,41,0
3.4_dynamic_10_traps,AgentA_solo,player,1,1,191,14
3.4_dynamic_10_traps,AgentA_solo,player,1,10,184,11
3.4_dynamic_10_traps,AgentA_solo,player,1,2,194,18
3.4_dynamic_10_traps,AgentA_solo,player,1,3,190,11
3.4_dynamic_10_traps,AgentA_solo,player,1,4,196,16
3.4_dynamic_10_traps,AgentA_solo,player,1,5,193,11
3.4_dynamic_10_traps,AgentA_solo,player,1,6,213,11
3.4_dynamic_10_traps,AgentA_solo,player,1,7,197,4
3.4_dynamic_10_traps,AgentA_solo,player,1,8,196,10
3.4_dynamic_10_traps,AgentA_solo,player,1,9,206,12
3.4_dynamic_10_traps,AgentA_solo,player,20,1,-266,293
3.4_dynamic_10_traps,AgentA_solo,player,20,10,-294,327
3.4_dynamic_10_traps,AgentA_solo,player,20,2,-261,295
3.4_dynamic_10_traps,AgentA_solo,player,20,3,-373,402
3.4_dynamic_10_traps,AgentA_solo,player,20,4,-408,435
3.4_dynamic_10_traps,AgentA_solo,player,20,5,-355,384
3.4_dynamic_10_traps,AgentA_solo,player,20,6,-262,289
3.4_dynamic_10_traps,AgentA_solo,player,20,7,-289,316
3.4_dynamic_10_traps,AgentA_solo,player,20,8,-348,370
3.4_dynamic_10_traps,AgentA_solo,player,20,9,-339,361
3.4_dynamic_10_traps,AgentB_solo,player,1,1,220,11
3.4_dynamic_10_traps,AgentB_solo,player,1,10,230,7
3.4_dynamic_10_traps,AgentB_solo,player,1,2,216,6
3.4_dynamic_10_traps,AgentB_solo,player,1,3,236,9
3.4_dynamic_10_traps,AgentB_solo,player,1,4,236,7
3.4_dynamic_10_traps,AgentB_solo,player,1,5,214,13
3.4_dynamic_10_traps,AgentB_solo,player,1,6,230,9
3.4_dynamic_10_traps,AgentB_solo,player,1,7,225,11
3.4_dynamic_10_traps,AgentB_solo,player,1,8,234,6
3.4_dynamic_10_traps,AgentB_solo,player,1,9,222,9
3.4_dynamic_10_traps,AgentB_solo,player,20,1,-356,385
3.4_dynamic_10_traps,AgentB_solo,player,20,10,-358,389
3.4_dynamic_10_traps,AgentB_solo,player,20,2,-381,415
3.4_dynamic_10_traps,AgentB_solo,player,20,3,-314,350
3.4_dynamic_10_traps,AgentB_solo,player,20,4,-359,396
3.4_dynamic_10_traps,AgentB_solo,player,20,5,-407,427
3.4_dynamic_10_traps,AgentB_solo,player,20,6,-301,332
3.4_dynamic_10_traps,AgentB_solo,player,20,7,-362,395
3.4_dynamic_10_traps,AgentB_solo,player,20,8,-376,406
3.4_dynamic_10_traps,AgentB_solo,player,20,9,-352,383
3.4_dynamic_10_traps,all_together,rnd,1,1,-53,92
3.4_dynamic_10_traps,all_together,agB,1,1,173,11
3.4_dynamic_10_traps,all_together,agA,1,1,175,4
3.4_dynamic_10_traps,all_together,agA,1,10,169,12
3.4_dynamic_10_traps,all_together,rnd,1,10,-69,95
3.4_dynamic_10_traps,all_together,agB,1,10,207,6
3.4_dynamic_10_traps,all_together,agA,1,2,154,13
3.4_dynamic_10_traps,all_together,agB,1,2,198,10
3.4_dynamic_10_traps,all_together,rnd,1,2,-61,103
3.4_dynamic_10_traps,all_together,agB,1,3,196,8
3.4_dynamic_10_traps,all_together,agA,1,3,158,18
3.4_dynamic_10_traps,all_together,rnd,1,3,-78,107
3.4_dynamic_10_traps,all_together,rnd,1,4,-91,121
3.4_dynamic_10_traps,all_together,agB,1,4,199,7
3.4_dynamic_10_traps,all_together,agA,1,4,167,9
3.4_dynamic_10_traps,all_together,agB,1,5,205,11
3.4_dynamic_10_traps,all_together,agA,1,5,180,5
3.4_dynamic_10_traps,all_together,rnd,1,5,-60,100
3.4_dynamic_10_traps,all_together,rnd,1,6,-80,110
3.4_dynamic_10_traps,all_together,agB,1,6,197,7
3.4_dynamic_10_traps,all_together,agA,1,6,170,9
3.4_dynamic_10_traps,all_together,agA,1,7,172,13
3.4_dynamic_10_traps,all_together,rnd,1,7,-66,96
3.4_dynamic_10_traps,all_together,agB,1,7,176,10
3.4_dynamic_10_traps,all_together,agB,1,8,198,11
3.4_dynamic_10_traps,all_together,agA,1,8,143,11
3.4_dynamic_10_traps,all_together,rnd,1,8,-58,98
3.4_dynamic_10_traps,all_together,agB,1,9,215,8
3.4_dynamic_10_traps,all_together,agA,1,9,158,5
3.4_dynamic_10_traps,all_together,rnd,1,9,-56,91
3.4_dynamic_10_traps,all_together,agB,20,1,-386,406
3.4_dynamic_10_traps,all_together,agA,20,1,-235,254
3.4_dynamic_10_traps,all_together,rnd,20,1,-94,120
3.4_dynamic_10_traps,all_together,agA,20,10,-228,251
3.4_dynamic_10_traps,all_together,rnd,20,10,-58,92
3.4_dynamic_10_traps,all_together,agB,20,10,-273,301
3.4_dynamic_10_traps,all_together,rnd,20,2,-84,108
3.4_dynamic_10_traps,all_together,agB,20,2,-320,343
3.4_dynamic_10_traps,all_together,agA,20,2,-233,258
3.4_dynamic_10_traps,all_together,rnd,20,3,-88,114
3.4_dynamic_10_traps,all_together,agA,20,3,-257,288
3.4_dynamic_10_traps,all_together,agB,20,3,-301,315
3.4_dynamic_10_traps,all_together,agA,20,4,-240,266
3.4_dynamic_10_traps,all_together,rnd,20,4,-91,111
3.4_dynamic_10_traps,all_together,agB,20,4,-280,305
3.4_dynamic_10_traps,all_together,agB,20,5,-266,296
3.4_dynamic_10_traps,all_together,agA,20,5,-203,221
3.4_dynamic_10_traps,all_together,rnd,20,5,-86,114
3.4_dynamic_10_traps,all_together,agB,20,6,-327,343
3.4_dynamic_10_traps,all_together,rnd,20,6,-54,93
3.4_dynamic_10_traps,all_together,agA,20,6,-180,193
